Name,Type,Tier,Attack,Wait,WL,WW,BB,SC,SH,ST,In-game Description,,
Megahorn,Bug,A,513,5,x,x,,,,,Using its tough and impressive horn; the user rams into enemies in front of itself with no letup; dealing huge damage to them.,STOP,
U-turn,Bug,C,243,5,x,x,,x,,,After attacking surrounding enemies; the user moves back to dodge enemies' counterattacks.,SORTING,
Leech Life,Bug,D,185,9,x,x,x,,,,The user drains the blood of enemies directly in front of itself; damaging them. Part of the damage dealt is absorbed to restore the user's HP.,THE,
Lunge,Bug,C,180,5,x,x,x,,,,The user lunges toward enemies in front of itself; damaging them.,SHEET,
String Shot,Bug,C,118,2,x,x,,x,,x,The user spews a sticky thread in three directions; creating nets that will damage enemies and often lower their movement speed.,,
Silver Wind,Bug,C,53,5,x,x,x,x,x,x,Scales carried by the wind swirl around the user; damaging enemies hit by them. Some or all of the user's stats sometimes rise at random.,THANK,
Rage Powder,Bug,C,0,2,x,x,,,,,The user scatters a cloud of irritating powder on itself; causing surrounding enemies to target it.,YOU,
Pin Missile,Bug,B,110,7,x,x,x,x,,,The user shoots three sharp spikes in front of itself; damaging enemies hit by them.,"To make a copy; click file > ""make copy"" > ""okay""",
Crunch,Dark,B,370,5,x,x,x,,,,The user takes aim and then bites on to enemies a short distance in front of itself; damaging them.,Sort it on your own copy.,
Sucker Punch,Dark,C,130,5,x,x,,,,,The user briefly disappears and moves a short distance. It then charges toward enemies; damaging them.,Tier explanations:,
Night Slash,Dark,,83,5,x,x,x,,,,The user dashes forward; slashing surrounding enemies and damaging them. Critical hits land more easily.,S Tier,Skills that have been proven to be strongest of their group. Insane DPS; Burst; or Buffs.
Taunt,Dark,META,0,2,x,x,,,,,The user taunts surrounding enemies; forcing them to target it.,A Tier,Skills that can easily be used to clear 12-9 without trouble.
Nasty Plot,Dark,B,0,,x,x,,,x,x,The user stimulates its brain by thinking bad thoughts; raising the amount of damage it deals for a while.,B Tier,Skills that are either slightly worse versions of better skills; or that are more mid-game focused.
