#,Pokémon,Move 1,Move 2,Move 3,Move 4,Move 5,Move 6,Move 7,Move 8,Move 9,Move 10,Auto,Type1,Type2,HP,Att,Total
1,Bulbasaur,Vine Whip,Synthesis,Tackle,Petal Dance,,,,,,,Melee,Grass,Poison,125,75,200
2,Ivysaur,Vine Whip,Synthesis,Tackle,Petal Dance,Leech Seed,Take Down,Poison Powder,,,,Melee,Grass,Poison,400,100,500
3,Venusaur,Vine Whip,Synthesis,Tackle,Petal Dance,Leech Seed,Take Down,Poison Powder,Toxic,Mega Drain,Solar Beam,Melee,Grass,Poison,550,150,700
4,Charmander,Fire Punch,Ember,Fire Spin,Scratch,,,,,,,Melee,Fire,-,75,125,200
5,Charmeleon,Fire Punch,Ember,Fire Spin,Scratch,Dragon Claw,Metal Claw,Flamethrower,,,,Melee,Fire,-,100,400,500
6,Charizard,Fire Punch,Ember,Fire Spin,Scratch,Dragon Claw,Metal Claw,Flamethrower,Flare Blitz,Flame Charge,Fire Blast,Melee,Fire,Flying,200,600,800
7,Squirtle,Bubble,Whirlpool,Withdraw,Tackle,,,,,,,Melee,Water,-,100,100,200
8,Wartortle,Bubble,Whirlpool,Withdraw,Tackle,Waterfall,Aqua Jet,Surf,,,,Melee,Water,-,250,250,500
9,Blastoise,Bubble,Whirlpool,Withdraw,Tackle,Waterfall,Aqua Jet,Surf,Blizzard,Aqua Ring,Hydro Pump,Melee,Water,-,400,400,800
10,Caterpie,String Shot,Take Down,Lunge,Tackle,,,,,,,Melee,Bug,-,110,90,200
11,Metapod,String Shot,Take Down,Lunge,Tackle,Electroweb,Harden,Iron Defense,,,,Melee,Bug,-,275,25,300
12,Butterfree,String Shot,Take Down,Lunge,Tackle,Electroweb,Harden,Iron Defense,Rage Powder,Silver Wind,U-Turn,Melee,Bug,Flying,150,250,400
13,Weedle,String Shot,Tackle,Lunge,Poison Sting,,,,,,,Melee,Bug,Poison,100,100,200
14,Kakuna,String Shot,Tackle,Lunge,Poison Sting,Electroweb,Harden,Iron Defense,,,,Melee,Bug,Poison,250,50,300
15,Beedrill,String Shot,Tackle,Lunge,Poison Sting,Electroweb,Harden,Iron Defense,Agility,Aerial Ace,Pin Missile,Melee,Bug,Poison,150,250,400
16,Pidgey,Gust,Whirlwind,Tailwind,Twister,,,,,,,Range,Normal,Flying,100,100,200
17,Pidgeotto,Gust,Whirlwind,Tailwind,Twister,Agility,Hurricane,Mud-Slap,,,,Range,Normal,Flying,250,250,500
